               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099457,            0.039285,            0.018444,           0.0037747,             0.29482,            0.012957,           0.0032497,            0.092755,            0.036626,            0.021565,            0.096712,            0.029589,            0.029589
                   1,            0.088018,            0.032667,            0.010561,             0.50188,             0.20781,             0.12678,            0.038983,            0.085973,            0.043857,            0.011148,            0.092843,            0.059053,            0.059053
                   2,            0.084238,            0.032155,           0.0095963,           0.0075263,             0.02095,           0.0015996,          0.00049054,              0.1215,            0.062256,              7.8837,            0.088433,            0.087976,            0.087976
                   3,             0.07432,            0.030333,           0.0081523,             0.34155,            0.013478,           0.0035019,           0.0011485,            0.095777,            0.064655,            0.038454,             0.08757,             0.08757,             0.08757
                   4,            0.065736,               0.027,           0.0058442,             0.60323,             0.59215,             0.58362,             0.23093,            0.058376,            0.028589,           0.0066703,             0.08757,             0.08757,             0.08757
                   5,            0.061885,            0.026617,           0.0053221,             0.68268,             0.52979,             0.59235,             0.25889,            0.061471,            0.029065,           0.0067385,             0.08676,             0.08676,             0.08676
                   6,            0.058547,            0.025977,           0.0048134,             0.73242,             0.69241,             0.74023,             0.34495,            0.050348,             0.02336,           0.0060599,             0.08595,             0.08595,             0.08595
                   7,            0.055539,            0.026135,           0.0043151,             0.80995,             0.53893,             0.65599,             0.31781,             0.05593,            0.028621,            0.008267,             0.08514,             0.08514,             0.08514
                   8,            0.055937,            0.024357,           0.0044865,             0.85797,             0.69863,             0.81391,             0.39988,            0.053268,             0.02329,           0.0057062,             0.08433,             0.08433,             0.08433
                   9,             0.05448,            0.024916,           0.0040681,             0.84307,             0.71245,              0.8153,             0.39723,            0.045644,            0.023067,           0.0036161,             0.08352,             0.08352,             0.08352
                  10,            0.052278,             0.02417,           0.0035505,              0.8434,             0.80227,             0.86622,             0.41907,            0.048246,            0.023157,            0.005365,             0.08271,             0.08271,             0.08271
                  11,            0.052096,            0.023804,           0.0035721,              0.8295,             0.70413,             0.84191,             0.42058,            0.042742,             0.02263,           0.0033256,              0.0819,              0.0819,              0.0819
                  12,            0.050056,            0.023908,           0.0032956,             0.87186,             0.73026,             0.84822,             0.45561,            0.044073,            0.022103,           0.0038645,             0.08109,             0.08109,             0.08109
                  13,            0.049843,            0.023601,           0.0031176,             0.87997,             0.73595,             0.87305,             0.49233,            0.042154,            0.022198,           0.0041512,             0.08028,             0.08028,             0.08028
                  14,            0.049021,            0.022707,           0.0029926,             0.86227,             0.83292,             0.90676,             0.48169,            0.044924,            0.021171,           0.0035227,             0.07947,             0.07947,             0.07947
                  15,            0.049692,            0.023867,           0.0032259,             0.82443,             0.73052,              0.8324,             0.44566,            0.044997,            0.022963,           0.0047028,             0.07866,             0.07866,             0.07866
                  16,            0.048518,            0.022984,           0.0029326,             0.87149,             0.78722,             0.88925,             0.48421,            0.043753,            0.022122,           0.0040917,             0.07785,             0.07785,             0.07785
                  17,            0.048302,            0.022322,           0.0028675,             0.81316,             0.74714,             0.82331,             0.45554,            0.044994,            0.021758,           0.0055831,             0.07704,             0.07704,             0.07704
                  18,            0.047381,            0.022416,           0.0027499,             0.86465,             0.79876,             0.88614,             0.51436,            0.042937,            0.021276,           0.0035888,             0.07623,             0.07623,             0.07623
                  19,            0.047205,            0.021763,           0.0027903,             0.87921,             0.79349,             0.87881,              0.4901,            0.040042,            0.021921,           0.0033354,             0.07542,             0.07542,             0.07542
                  20,            0.045925,            0.022232,           0.0026687,             0.87001,             0.76376,             0.87304,             0.50231,            0.041722,            0.023359,            0.004253,             0.07461,             0.07461,             0.07461
                  21,            0.045858,            0.021722,            0.002634,             0.87137,             0.79073,             0.89093,             0.51227,              0.0412,            0.021389,           0.0030504,              0.0738,              0.0738,              0.0738
                  22,            0.045858,            0.022268,           0.0024795,              0.8627,             0.82303,             0.88926,             0.48799,            0.043267,            0.022317,           0.0043627,             0.07299,             0.07299,             0.07299
                  23,            0.045559,            0.021922,           0.0024594,             0.91749,             0.82151,             0.90989,             0.53264,            0.040909,            0.021129,           0.0029182,             0.07218,             0.07218,             0.07218
                  24,             0.04458,            0.021475,           0.0025078,             0.78752,             0.77735,             0.78994,             0.47232,             0.04084,            0.022162,           0.0050848,             0.07137,             0.07137,             0.07137
                  25,            0.044538,            0.022174,           0.0025001,             0.88454,              0.8003,             0.87621,             0.49019,            0.040357,            0.020723,           0.0031903,             0.07056,             0.07056,             0.07056
                  26,            0.043975,            0.021588,           0.0023652,             0.85293,             0.75203,             0.87884,             0.51722,            0.040704,            0.021771,           0.0042444,             0.06975,             0.06975,             0.06975
                  27,              0.0437,            0.021228,           0.0024546,             0.87669,             0.78186,             0.88203,             0.51692,            0.038568,            0.021146,           0.0029394,             0.06894,             0.06894,             0.06894
                  28,            0.043013,            0.021598,           0.0024196,             0.88007,             0.77119,             0.87648,             0.52338,            0.039204,            0.020954,           0.0032215,             0.06813,             0.06813,             0.06813
                  29,            0.042921,            0.021514,           0.0022911,             0.87151,             0.81259,             0.89362,             0.53536,            0.039328,            0.020772,           0.0034435,             0.06732,             0.06732,             0.06732
                  30,            0.043393,            0.021386,           0.0022799,             0.89454,             0.74144,             0.89009,             0.51421,            0.040202,            0.020685,           0.0029639,             0.06651,             0.06651,             0.06651
                  31,            0.042579,              0.0216,           0.0023082,             0.82017,             0.76885,             0.83939,             0.49235,             0.03957,            0.021883,           0.0034271,              0.0657,              0.0657,              0.0657
                  32,            0.042963,            0.021199,           0.0021783,             0.92114,             0.77485,             0.90365,             0.53574,            0.039131,            0.021361,           0.0040763,             0.06489,             0.06489,             0.06489
                  33,            0.042977,            0.020505,           0.0021249,             0.84714,             0.74766,             0.87252,             0.52373,            0.038379,            0.021593,           0.0035662,             0.06408,             0.06408,             0.06408
                  34,            0.042738,            0.020889,           0.0021791,             0.90376,             0.80917,             0.90763,             0.50787,            0.040542,            0.020198,           0.0032878,             0.06327,             0.06327,             0.06327
                  35,             0.04212,            0.021135,           0.0021782,             0.86086,              0.8342,              0.9036,             0.52346,            0.038952,            0.020653,           0.0032927,             0.06246,             0.06246,             0.06246
                  36,            0.041984,            0.020997,           0.0022109,             0.91621,              0.7917,             0.90393,             0.53654,            0.037459,            0.021371,           0.0037594,             0.06165,             0.06165,             0.06165
                  37,            0.041748,            0.020902,           0.0021651,             0.90385,             0.81442,             0.90592,             0.54645,            0.038686,            0.021019,           0.0027161,             0.06084,             0.06084,             0.06084
                  38,            0.041014,            0.021324,           0.0022026,              0.8946,             0.78109,             0.88051,             0.54053,            0.039751,            0.021218,           0.0040054,             0.06003,             0.06003,             0.06003
